"","Scientific name","Common name","Conservation Plan_1","notes_all_cleaning specific","number of conservation agreements","total number of partners for species","type of agreements (source of information)","""in cooperation"" (included in total unless stated otherwise) or other vague terms","List agency office (if given)","unspecified additional landowners","If distinction between species specific partners and total agreement partners, list total agreement partners here","note redundancy","Who the partners are"
"46","Hazardia orcuttii","ORCUTTS'S HAZARDIA",NA,"See ""in cooperation""",2,8,"HCP,  HCP","Prepared for: City of Carlsbad City of San Marcos U.S. Fish and Wildlife Service California Department of Fish and Game / Prepared by: Center for Natural Lands Management",NA,NA,NA,NA,"USFWS,  USFS,  California Department of Fish and Game,  John Hancock Mutual Life Insurace Company,  Bob McIntsh (Private landowner),  Sierra Pacific Industries, Hearest Corporation,  Siskiyou County Board of Supervisors"
"47","Sidalcea covillei","OWENS VALLEY CHECKERMALLOW",NA,NA,0,5,"None",NA,NA,NA,NA,NA,"USFS, BLM, California Department of Transportation (caltrans), California Department of Fish and Wildlife, Pacific Gas and Electric"
"48","Pyrgulopsis morrisoni","PAGE SPRINGSNAIL",NA,NA,1,0,"CCA",NA,NA,NA,NA,NA,"Arizona Game and Fish Department, USFWS"
"49","Limnanthes gracilis parishii","PARISH'S MEADOWNFOAM",NA,NA,0,0,"None",NA,NA,NA,NA,NA,"Department of Forest and Rangeland Stewardship Colorado State University, Desert Research Institute, U.S. National Park Service Death Valley National Park"
"50","Lithobates subaquavocalis","RAMSEY CANYON LEOPARD FROG",NA,"2 groups Section I of the plan briefly describes the Stakeholder Subgroups who developed this plan. Section II describes general actions land managers can take to support the recovery plan’s strategy elements of protecting existing populations, establishing new and re-establishing former populations, abating threats and known causes of decline, and maintaining and protecting habitat. /// Do national forests count as sub divisions of agency or count under USFS??  /// Non voting members not included and each organization only counted once:",1,53,"Recovery Plan",NA,"Given and a bunch of national forests specified // Specific Tribe locations",NA,NA,NA,"USGS, Natural Resources Conservation Service, USFWS, Mashpee Wampanoag Tribe, Lyme Land Conservation Trust, American Forest Foundation, Woodcock Limited, WCS Queens Zoo, Wells National Esturarine Research Reserve, Roger Williams Park Zoo, Audubon Connecticut, Connecticut Audubon Society, Open Space Institute, Audubon New York, Quail Forever, Pheasants Forever, Doris Duke Charitable Foundation, Wildlife Conservation Society, Amrican Bird Conservancy, Quality Deer Management Association, Sustainable Forestry Initiative, White Memorial Foundation, National Fish and Wildlife Foundation, Ruffed Grouse Society/American Woodcock Society, National Wild Turkey Federation, Wildlife Management Institute, New Engalnd Cottontail Conservation Initiative, Northeast Forest and Fire Management, Lyme Timber Company, Monterey Preservation Land Trust, Narrow River Land Trust, Nantucket Conservation Foundation, Scarborough Land Trust, Avalonia Land Conservancy, Orenda Wildlife Land Trust, Trustees of Reservations, Berkshire Natural Resources Council, York Land Trust, Becket Land Trust, Trust for Public Land, Massachusetts National Guard, New York Division of Fish Wildlife and Marine Resources, Northeast Association of Fish and Wildlife Agencies, Rhode Island Division of Fish and Wildlife, Connecticute Department of Energy and Environmental Protection, Massachusetts Division of Fisheries and Wildlife, New Hampshire Fish and Game Department, Maine Department of Inland Fisheries and Wildlife, University of Rhode Island College of Envionment and Life Sciences, University of New Hampshire, University of New Hampshire Cooperative Extenson, New Hampshire Fish and Game Department"
"51","Abronia alpina","RAMSHAW MEADOWS SAND-VERBANA",NA,NA,0,0,"None",NA,NA,NA,NA,NA,NA
"52","Collomia rawsoniana","RAWSONÕS FLAMING TRUMPET",NA,NA,0,8,"None",NA,NA,NA,NA,NA,"City of NCCP, USFWS, California Department of Fish and Game, California Resources Agency"
"53","Lithobates onca","RELICT LEOPARD FROG",NA,NA,1,0,"CCA",NA,NA,"Yes",NA,NA,"USFS,  Nevada Department of Wildlife"
"54","Oncorhynchus clarkii virginalis","RIO GRANDE CUTTHROAT TROUT",NA,"(* indicates the signatories to the 2003 and 2009 Conservation Agreements --> all parties up to and including trout unlimited) // Note – document will refer to different partners by different names through out document",2,2,"Vermejo CCAA,  Agreement and Strategy for the Conservation of Rio Grande Cutthroat Trout",NA,NA,NA,NA,"New Mexico Department of Game and Fish USFWS","Colorado Parks and Wildlife (CPW), New Mexico Department of Game and Fish (NMDGF), USFS, USFWS, Mescalero Apache Nation, Jicarilla Apache Nation, Taos Pueblo, National Park Service (NPS), BLM,  Trout Unlimited, Vermejo Park Ranch, Colorado Division of Parks and Wildlife"
"55","Euphydryas anicia cloudcrofti","SACRAMENTO MOUNTAINS CHECKERSPOT BUTTERFLY",NA,NA,2,0,"MOU, Conservation Plan",NA,"3 different parts of USFWS",NA,NA,"USFWS","Village of Cloudcroft, Otero County, Lincoln National Forest, USFWS, USFWS regional office, USFWS Ecological services New Mexico Field Office, USFS, Village of Cloudcroft"
"56","Lotus argophyllus adsurgens","SAN CLEMENTE ISLAND SILVER HOSACKIA",NA,NA,0,30,"None",NA,NA,NA,NA,NA,NA
"57","
Chorizanthe parryi var fernandina","SAN FERNANDO VALLEY SPINEFLOWER","CCA","Document is hard to access // Withdrawal of proposed rule was based in part on the conservation measures contained in a 2017 CCA and other conservation measures required by the state of CA.  PECE analysis completed on the CCA. Withdrawal of the proposed rule.",0,0,"no docs",NA,NA,NA,NA,NA,NA
"58","Euphilotes pallescens arenamontana","SAND MOUNTAIN BLUE BUTTERFLY","CCA","Document names known but pdfs not found // Conservation efforts by a consortium of partners (Lahontan Valley Environmental Alliance) culminated in a signed Conservation agrreement which addresses the threats to the species.  Because of these conservation efforts, we made a not-warranted 12-month finding (included an analysis under PECE for one of the conservation measures) and did not need to add to the candidate list.",0,0,"no docs",NA,NA,NA,NA,NA,NA
"59","Dudleya blochmaniae insularis","SANTA ROSA ISLAND DUDLEYA",NA,"Withdrawal of a proposed listing rule - included in a conservation agreement.",0,2,"None",NA,NA,NA,NA,NA,NA
"60","Dudleya blochmaniae brevifolia","SHORT-LEAVED DUDLEYA","HCP","Withdrawal of a proposed listing rule - included in a conservation agreement.",0,14,NA,NA,NA,NA,NA,NA,"Colorado Parks and Wildlife, New Mexico Department of Game and Fish, USFS, USFWS, Mescalero Apache Nation, Jicarilla Apache Nation, Taos Pueblo, NPS, BLM,  Trout Unlimited, Vermejo Park Ranch, Colorado Division of Parks and Wildlife"
"61","Moxostoma sp 2","SICKLEFIN REDHORSE","CCA","note, possibly more partners ""In order to maximize conservation efforts and effectiveness for the Sicklefin Redhorse, the Board may recruit additional participants who will provide technical and/or funding support. Such additional participants must be approved by the Board, but the additional participants shall not be Parties to this CCA. The Board will also establish and convene Annual Meetings of a Working Group that consists of fisheries biologists or other qualified personnel. The Working Group will convene annually and will develop consensus recommendations to the Board that will guide the design and implementation of conservation actions and management strategies. The Working Group will exist for the duration of this CCA.""",1,9,"CCA",NA,NA,NA,NA,NA,"North Carolina Wildlife Resources Commission, Duke Energy Carolinas, Eastern Band of Cherokee Indians, Tennessee Valley Authority, Georgia Department of Natural Resources, USFWS"
"62","Lepidium papilliferum","SLICKSPOT PEPPERGRASS",NA,"Withdrawal of proposed listing.  PECE analysis conducted - reviewed activities identified in five plans or conservation strategies. The five plans were: (1) CCAA (2) Idaho Army National Guard Integrated Natural Resource Management Plan for Gowen Field/Orchard Training Area; (3) U.S. Air Force INRMP for Mountain Home Air Force Base; (4) the Conservation Agreement by and between Boise City and the FWS for Allium aasea (AaseÕs onion), Astragalus mulfordiae (MulfordÕs milkvetch), and Lepidium papilliferum (slickspot peppergrass); and (5) the CCA at the Boise Airport, Idaho.  NOTE: species has been susbsequently listed",2,0,"?",NA,NA,NA,NA,NA,"Office of Species Conservation,  Idaho Department of Fish & Game,  Idaho Department of Lands,  Idaho Army National Guard,  Nongovernmental Cooperator Representative,  Nongovernmental Cooperator Representative, BLM"
"63","Potentilla basaltica","SOLDIER MEADOW CINQUEFOIL",NA,"Species removed due to conservation measures and protection provided by BLM that will continue into the forseeable future.   Not warranted 12-month finding/candidate removal.",1,0,"Recovery Plan",NA,NA,"Yes --> ""For activities occuring on pivate land, landowner participation is needed""",NA,NA,"BLM,  Nevada Division of Wildlife, USFWS"
"64","Urocitellus endemicus","SOUTHERN IDAHO GROUND SQUIRREL",NA,"A programmatic CCAA somewhat contributed toward the not warranted 12-month finding/candidate removal",2,0,"CCAA,  CCAA",NA,NA,"Yes",NA,"USFWS, Idaho Department of Fish and Game (JDFG), the Idaho Governor's Office of Species Conservation (OSC)","Idaho Department of Fish and Game (JDFG), Idaho Governor's Office of Species Conservation (OSC), USFWS, Soulen Livestock Company Inc. (Soulen Livestock)."
"65","Dudleya sp.","SP. NOV. INED. (MUNCHKIN) DUDLEYA",NA,"Withdrawal of a proposed listing rule - included in a conservation agreement.",0,0,"no docs",NA,NA,NA,NA,NA,NA
"66","Paysonia stonensis","STONES RIVER BLADDERPOD","CCA","Conservation efforts under cooperative agreements with the Tennessee Department of Environment  & Conservation and the Tennessee Wildlife Resources Agency contributed to removal from candidate status.",0,0,"None",NA,NA,NA,NA,NA,"California Department of Fish and Game, San Diego Gas and Electric Company, USFWS"
"67","Eriogonum argophyllum","SULPHUR SPRINGS BUCKWHEAT",NA,"Conservation efforts contributed to removal from candidate status.  Areas fenced off to grazing and off-highway vehicles",0,10,"None",NA,NA,NA,NA,NA,NA
"68","Cirsium rhothophilum","SURF THISTLE",NA,"Conservation efforts by the Air Force for another species (western snowy plover) contributed to the decision to remove this species from candidate status.",0,14,"None",NA,NA,NA,NA,NA,"Office of Species Conservation,  Idaho Department of Fish and Game,  Idaho Department of Lands,  Idaho Army National Guard,  Nongovernmental Cooperator Representative,  Nongovernmental Cooperator Representative, BLM"
"69","Pseudanophthalmus inexpectatus","SURPRISING CAVE BEETLE","CCA","An assessment found that the speciesÕ range was larger and the threats to its continued existence had decreased. In addition, Mammoth Cave National Park entered into a 15-year agreement to conserve the cave beetle and its habitat, which includes Surprising Cave and three other caves in the park. Not warranted 12-month finding/candidate removal.",0,3,"None",NA,NA,NA,NA,NA,NA
"70","Vulpes velox","SWIFT FOX",NA,"More abundant and widely distributed than previously though; more flexible in habitat requirements than originally thought; 10 State wildlife agencies have contributed to conservation efforts.  (Was a ""category 2 candidate from 1982-1996)",0,7,NA,NA,NA,NA,NA,NA,"Idaho Department of Fish and Game, Idaho Governor's Office of Species Conservation, USFWS, Soulen Livestock Company Inc. (Soulen Livestock)."
"71","Rorippa subumbellata","TAHOE YELLOW CRESS","CCA","Since 1999, the Adaptive Management Working Group has developed and implemented conservation actions for Tahoe yellow cress.  A conservation strategy coupled with a memorandum of understanding/conservation agreement (MOU/CA) between numerous Federal, State, and local agencies and environmental organizations has been implemented to address the stressor to Tahoe yellow cress.  The MOU/CA was again signed in 2013 for a period of 10 years, and an updated conservation strategy is expected in 2015.  An annual monitoring plan is in place, and propagation, transplanting, and translocation strategies have been examined and successfully initiated.Based on the successful track record of numerous parties implementing these conservation actions together, ongoing implementation is managing and avoiding or mitigating identified impacts. 12-month not warranted finding/candidate removal.",2,0,"MOU,  Conservation Strategy",NA,NA,NA,NA,NA,"California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation (California State Parks), California Tahoe Conservancy, League to Save Lake Tahoe, Nevada Division of Forestry, Nevada Division of State Lands, Nevada Division of State Parks, Nevada Natural Heritage Program, Tahoe Lakefront Owners’ Association, Tahoe Regional Planning Agency, USFWS, USFS, California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation (California State Parks), California Tahoe Conservancy, League to Save Lake Tahoe, Nevada Division of Forestry, Nevada Division of State Lands, Nevada Division of State Parks, Nevada Natural Heritage Program, Tahoe Lakefront Owners’ Association, Tahoe Regional Planning Agency"
"72","Castilleja elongata","TALL PAINTBRUSH",NA,NA,0,0,"None",NA,NA,NA,NA,NA,NA
"73","Delphinium variegatum thornei","THORNEÕS ROYAL LARKSPUR",NA,NA,0,0,"None",NA,NA,NA,NA,NA,NA
"74","Calochortus umpquaensis","UMPQUA MARIPOSA LILY","CCA",NA,1,0,"Conservation Agreement",NA,NA,NA,NA,NA,"BLM, USFWS"
"75","Zaitzevia thermae","WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","CCA","uncertain about count",1,0,"CCA","possibly",NA,"possibly (bottom paragraph of page 8 indicates that there could be additional collaboration)",NA,NA,"USFWS,  Montana State University,  Montana Fish Wildlife & Parks"
"76","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","HCP","uncertain about count",2,0,"HCP,  CCAA","likely -  in cooperation with the South Douglas Conservation District and involving agricultural landowners and other stakeholders",NA,"likely","Oregon Department of Fish and Wildlife AND TNC Portland",NA,"Foster Creek Conservation District (FCCD), Threemile Canyon Farms, The Nature Conservancy,  General Electric, USFWS"
"77","Polemonium pectinatum","WASHINGTON JACOB'S-LADDER","CCA","Minor threats were reduced by a conservation agreement aimed at reducing the populations of noxious weeds. Thus, the species was removed from candidate status.",0,26,"None",NA,NA,NA,NA,NA,"California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation, California Tahoe Conservancy, League to Save Lake Tahoe, Nevada Division of Forestry, Nevada Division of State Lands, Nevada Division of State Parks, Nevada Natural Heritage Program, Tahoe Lakefront Ownersâ€™ Association, Tahoe Regional Planning Agency, USFWS, USFS, California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation, California Tahoe Conservancy, League to Save Lake Tahoe"
"78","Nysius wekiuicola","WEKIU BUG","None","Management of the Mauna Kea summit area by the Office of Mauna Kea Management includes continued monitoring of the wekiu bug and its habitat, and scientific studies to assist in managing and protecting wekiu bug populations and habitat. The 2000 Mauna Kea Science Reserve Management Plan, the Mauna Kea Comprehensive Management Plan, the four sub-plans and a procedure for formal review of new projects on Mauna Kea all contributed to the protection and conservation of the wekiu bug and led to a determination that this speicies no longer warranted listing. Not warranted 12-month finding/candidate removal.",0,0,NA,NA,NA,NA,NA,NA,NA
"79","Delphinium viridescens","WENATCHEE LARKSPUR","None","Conservation efforts by U.S. Forest Service and WA Dept. of Natural Resources have reduced threats to the species resulting in removal from candidate status.",0,0,NA,NA,NA,NA,NA,NA,NA
"80","Sonorella macrophallus","WET CANYON TALUSSNAIL",NA,NA,1,2,"Conservation Assessment",NA,NA,NA,"USDA Forest Service Coronado National Forest Safford Ranger District, U. S. Fish and Wildlife Service Arizona Ecological Services Field Office, Arizona Game and Fish Department Nongame and Endangered Wildlife Program",NA,"USDA, USFWS, BLM"
"81","Penstemon scariosus albifluvis","WHITE RIVER BEARDTONGUE",NA,NA,1,4,"Conservation Agreement",NA,NA,NA,"BLM in Utah and Colorado",NA,"USFWS,  Montana State University,  Montana Fish Wildlife and Parks"
"82","Aliciella caespitosa","WONDERLAND ALICE-FLOWER",NA,NA,1,7,"CCA",NA,NA,NA,"Fishlake National Forest, NPS info, USFWS info",NA,"Foster Creek Conservation District, Threemile Canyon Farms, The Nature Conservancy,  General Electric, USFWS"
"83","Synthliboramphus hypoleucus","XANTUS'S MURRELET",NA,NA,0,0,"None",NA,NA,NA,NA,NA,NA
"84","Solidago plumosa","YADKIN RIVER GOLDENROD","CCA","Speces removed due to conservation efforts included in a CCA with Alcoa Power.  Not warranted 12-month finding/candidate removal.",1,0,"CCA","Cooperators: North Carolina Plant Conservation Program (“NCPCP”)",NA,NA,NA,NA,"Alcoa Power Generating Inc, USFWS"
"85",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"USFS,  USFWS,  Arizona Game and Fish Department"
"87",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,"Uintah County, Rio Blanco County,  Utah School and Institutional Trust Lands Administration, Utah Governorâ€™s Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, USFWS"
"88",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"USFS, NPS,  Utah State Office , USFWS, BLM"
"89",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
