"","scientific_name","common_name","sum_part_raw","all_partner_names_raw","partner_names","total"
"46","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","8_NA_NA","II. INVOLVED PARTIES/SIGNATORIES TO THIS AGREEMENT,NA,NA","USFWS,  USFS,  California Department of Fish and Game,  John Hancock Mutual Life Insurace Company,  Bob McIntsh (Private landowner),  Sierra Pacific Industries, Hearest Corporation,  Siskiyou County Board of Supervisors",8
"47","Clarkia lingulata","MERCED CLARKIA","NA_NA_NA","U.S. Forest Service (USFS), Bureau of Land Management, Caltrans, CDFW, and Pacific Gas and Electric,NA,NA","USFS, BLM, California Department of Transportation (caltrans), California Department of Fish and Wildlife, Pacific Gas and Electric",5
"48","Cordylanthus nidularius","MT. DIABLO BIRDÕS-BEAK","NA_NA_NA","NA,NA,NA",NA,NA
"49","Ambrysus funebris","NEVARES SPRING NAUCORID BUG (=FURNACE CREEK)","3_NA_NA","Department of Forest and Rangeland Stewardship Colorado State University, Desert Research Institute, U.S. National Park Service, Death Valley National Park, Death Valley, California,NA,NA","Department of Forest and Rangeland Stewardship Colorado State University, Desert Research Institute, NPS",3
"50","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","51?_2?_2?","see - https://newenglandcottontail.org/partners,New Hampshire Fish and Game Department and USFWS with support from edf,Maine Department of Inland Fisheries and Wildlife and USFWS with spport from EDF","USGS, NRCS, USFWS, Mashpee Wampanoag Tribe, Lyme Land Conservation Trust, American Forest Foundation, Woodcock Limited, WCS Queens Zoo, Wells National Esturarine Research Reserve, Roger Williams Park Zoo, Audubon Connecticut, Connecticut Audubon Society, Open Space Institute, Audubon New York, Quail Forever, Pheasants Forever, Doris Duke Charitable Foundation, Wildlife Conservation Society, Amrican Bird Conservancy, Quality Deer Management Association, Sustainable Forestry Initiative, White Memorial Foundation, National Fish and Wildlife Foundation, Ruffed Grouse Society/American Woodcock Society, National Wild Turkey Federation, Wildlife Management Institute, New Engalnd Cottontail Conservation Initiative, Northeast Forest and Fire Management, Lyme Timber Company, Monterey Preservation Land Trust, Narrow River Land Trust, Nantucket Conservation Foundation, Scarborough Land Trust, Avalonia Land Conservancy, Orenda Wildlife Land Trust, Trustees of Reservations, Berkshire Natural Resources Council, York Land Trust, Becket Land Trust, Trust for Public Land, Massachusetts National Guard, New York Division of Fish Wildlife and Marine Resources, Northeast Association of Fish and Wildlife Agencies, Rhode Island Division of Fish and Wildlife, Connecticute Department of Energy and Environmental Protection, Massachusetts Division of Fisheries and Wildlife, New Hampshire Fish and Game Department, Maine Department of Inland Fisheries and Wildlife, University of Rhode Island College of Envionment and Life Sciences, University of New Hampshire, University of New Hampshire Cooperative Extenson, New Hampshire Fish and Game Department",52
"51","Coccoloba rugosa","NO COMMON NAME","NA_NA_NA","NA,NA,NA",NA,NA
"52","Hazardia orcuttii","ORCUTTS'S HAZARDIA","4_4_NA","City of NCCP planning agreements with the USFWS, CDFG, and California Resources Agency,Prepared for: City of Carlsbad City of San Marcos U.S. Fish and Wildlife Service California Department of Fish and Game / Prepared by: Center for Natural Lands Management,NA","City of NCCP, USFWS, City of Carlsbad, City of San Marcos, California Department of Fish and Game, California Resources Agency",6
"53","Sidalcea covillei","OWENS VALLEY CHECKERMALLOW","NA_NA_NA","NA,NA,NA",NA,NA
"54","Pyrgulopsis morrisoni","PAGE SPRINGSNAIL","2_NA_NA","Arizona Game and Fish Department, USFWS,NA,NA","Arizona Game and Fish Department, USFWS",2
"55","Limnanthes gracilis parishii","PARISH'S MEADOWNFOAM","NA_NA_NA","NA,NA,NA",NA,NA
"56","Lithobates subaquavocalis","RAMSEY CANYON LEOPARD FROG","unknown_NA_NA","List of contacts starts on page 106,NA,NA",NA,NA
"57","Abronia alpina","RAMSHAW MEADOWS SAND-VERBANA","NA_NA_NA","NA,NA,NA",NA,NA
"58","Collomia rawsoniana","RAWSONÕS FLAMING TRUMPET","NA_NA_NA","NA,NA,NA",NA,NA
"59","Lithobates onca","RELICT LEOPARD FROG","2+?_NA_NA","USFS, Nevada Department of Wildlife + unspecified landowner(s?)  ::::::::::Nevada Department of Wildlife (Department) and __________________________ (Cooperator), is intended to promote good land stewardship by assisting the Cooperator in carrying out actions to benefit the relict leopard frog (Lithobates onca) on land owned or controlled by the Cooperator. Participation in this CA is a prerequisite for obtaining a Certificate of Inclusion (COI) [reference attachment to this Cooperative Agreement] from the Department issued as part of the agreement between the Department and the U.S. Fish and Wildlife Service (Service) titled, “Programmatic Candidate Conservation Agreement with Assurances for the Relict Leopard Frog in Clark County, Nevada” (Agreement). 2. ENROLLED PROPERTY The Cooperator owns or has legal controlling authority for property in Clark County, Nevada, that contains habitat that may be used by relict leopard frogs. The Department will enroll [# of acres] of this property under the Agreement, as shown on the attached property map [reference map attached to this CA]. Other species of listed or candidate plants or animals may also occur on the property, but no incidental take of these other species is authorized or permitted under this CA.,NA,NA","USFWS,  Nevada Department of Wildlife",2
"60","Oncorhynchus clarkii virginalis","RIO GRANDE CUTTHROAT TROUT","4_10_NA","Vermejo Park Ranch, New Mexico Department of Game and Fish, Colorado Division of Parks and Wildlife, and USFWS. Note – document will refer to different partners by different names through out documetn,•Colorado Parks and Wildlife (CPW)* • New Mexico Department of Game and Fish (NMDGF)* • U.S. Forest Service (USFS)* • U.S. Fish and Wildlife Service (FWS)* • Mescalero Apache Nation* • Jicarilla Apache Nation* • Taos Pueblo* • National Park Service (NPS)* • Bureau of Land Management (BLM)* • Trout Unlimited. Where (* indicates the signatories to the 2003 and 2009 Conservation Agreements),NA","Colorado Parks and Wildlife, New Mexico Department of Game and Fish, USFS, USFWS, Mescalero Apache Nation, Jicarilla Apache Nation, Taos Pueblo, NPS, BLM,  Trout Unlimited, Vermejo Park Ranch, Colorado Division of Parks and Wildlife",12
"61","Euphydryas anicia cloudcrofti","SACRAMENTO MOUNTAINS CHECKERSPOT BUTTERFLY","4_5_NA","Village of Cloudcroft, Otero County, Lincoln National Forest, USFWS,USFWS regional office, USFWS Ecological services New Mexico Field Office, USFS, Village of Cloudcroft,NA","Otero County, USFS, USFWS, Village of Cloudcroft",4
"62","Lotus argophyllus adsurgens","SAN CLEMENTE ISLAND SILVER HOSACKIA","NA_NA_NA","NA,NA,NA",NA,NA
"63","
Chorizanthe parryi var fernandina","SAN FERNANDO VALLEY SPINEFLOWER","NA_2_NA","NA,The Newhall Land and Farming Company, a California limited partnership (Newhall Land) and the U.S. Fish and Wildlife Service (Service),NA","USFWS, Newhall Land Farming Company",2
"64","Euphilotes pallescens arenamontana","SAND MOUNTAIN BLUE BUTTERFLY","NA_NA_NA","NA,NA,NA",NA,NA
"65","Dudleya blochmaniae insularis","SANTA ROSA ISLAND DUDLEYA","NA_NA_NA","NA,NA,NA",NA,NA
"66","Dudleya blochmaniae brevifolia","SHORT-LEAVED DUDLEYA","(note combines two areas and this species is only in the one, unsure how to count) --> doc is in wrong year anyway_? Use which doc??_3","Carmel Mountain is owned by the City of San Diego with the exception of two private inholdings (Figure 2-1). Ownership of Del Mar Mesa is split among private land holders and four public land owners/managers: City of San Diego, County of San Diego (County), California Department of Fish and Wildlife (CDFW) and U.S. Fish and Wildlife Service (USFWS). Each of these entities has mandates that direct their management of open space preserves. Seven parcels on Del Mar Mesa Preserve, totaling 160.0 acres, have been preserved for mitigation by 1) the Metropolitan Wastewater Department, 2) The Environmental Trust (owned/managed by the City following the bankruptcy of The Environmental Trust), 3) Mira Mesa Market Center, 4) Environmental Services, 5) the Deer Canyon Mitigation Bank, 6) the SANDAG/CalTrans Environmental Mitigation Program (Figure 2-2), and 7) McCaw Residence.,NA,California Department of Fish and Game, San Diego Gas & Electric Company, United States Fish and Wildlife Service","California Department of Fish and Game, San Diego Gas and Electric Company, USFWS",3
"67","Moxostoma sp 2","SICKLEFIN REDHORSE","6??_NA_NA","North Carolina Wildlife Resources Commission, Duke Energy Carolinas, Eastern Band of Cherokee Indians, Tennessee Valley Authority, and Georgia Department of Natural Resources, USFWS ///Cooperators • Brookfield Smoky Mountain Hydro (Brookfield) • Conservation Fisheries, Inc. (CFI) • Warm Springs National Fish Hatchery (WSNFH) • North Carolina Department of Transportation //  ---> note ""In order to maximize conservation efforts and effectiveness for the Sicklefin Redhorse, the Board may recruit additional participants who will provide technical and/or funding support. Such additional participants must be approved by the Board, but the additional participants shall not be Parties to this CCA. The Board will also establish and convene Annual Meetings of a Working Group that consists of fisheries biologists or other qualified personnel. The Working Group will convene annually and will develop consensus recommendations to the Board that will guide the design and implementation of conservation actions and management strategies. The Working Group will exist for the duration of this CCA."",NA,NA","North Carolina Wildlife Resources Commission, Duke Energy Carolinas, Eastern Band of Cherokee Indians, Tennessee Valley Authority, Georgia Department of Natural Resources, USFWS",6
"68","Lepidium papilliferum","SLICKSPOT PEPPERGRASS","6_8_NA","Office of Species Conservation; Idaho Department of Fish & Game; Idaho Department of Lands; Idaho Army National Guard; Nongovernmental Cooperator Representative; Nongovernmental Cooperator Representative; BLM,366th Fighter Wing Commander; 366th OG and 366th OSS; HQ ACC/A3A; HQ ACC/A7AN; Morale, Welfare, Recreation and Services; 266th RANS; MHAFB ESOHC; 366th Civil Engineering Squadron (CES):,NA","Office of Species Conservation,  Idaho Department of Fish and Game,  Idaho Department of Lands,  Idaho Army National Guard,  Nongovernmental Cooperator Representative,  Nongovernmental Cooperator Representative, BLM, US Air Force",8
"69","Potentilla basaltica","SOLDIER MEADOW CINQUEFOIL","3+ private_NA_NA","The Bureau of Land Management and Nevada Division of Wildlife will be assisting the U.S. Fish and Wildlife Service in implementing recovery actions. For activities occurring on private land, landowner participation is also needed.,NA,NA","BLM,  Nevada Division of Wildlife, USFWS",3
"70","Urocitellus endemicus","SOUTHERN IDAHO GROUND SQUIRREL","3+ private_4_NA","The parties to this Agreement are the Idaho Department of Fish and Game (JDFG), the Idaho Governor's Office of Species Conservation (OSC), and the Service (""the agencies"").,The parties to this Agreement are the Idaho Department of Fish and Game (JDFG), the Idaho Governor's Office of Species Conservation (OSC), and the FWS (""the agencies"") and Soulen Livestock Company Inc. (Soulen Livestock).,NA","Idaho Department of Fish and Game, Idaho Governor's Office of Species Conservation, USFWS, Soulen Livestock Company Inc. (Soulen Livestock)",4
"71","Dudleya sp.","SP. NOV. INED. (MUNCHKIN) DUDLEYA","NA_NA_NA","NA,NA,NA",NA,NA
"72","Paysonia stonensis","STONES RIVER BLADDERPOD","NA_NA_NA","NA,NA,NA",NA,NA
"73","Eriogonum argophyllum","SULPHUR SPRINGS BUCKWHEAT","NA_NA_NA","NA,NA,NA",NA,NA
"74","Cirsium rhothophilum","SURF THISTLE","NA_NA_NA","NA,NA,NA",NA,NA
"75","Pseudanophthalmus inexpectatus","SURPRISING CAVE BEETLE","2_NA_NA","USFWS, NPS,NA,NA","USFWS, NPS",2
"76","Vulpes velox","SWIFT FOX","? (77R link should provide clarity)_46_NA","The SFCT was formally established in 1994 by way of a letter to the Regional Director for the USFWS Region 6 from 10 state wildlife agency directors (Colorado, Wyoming, South Dakota, Nebraska, Texas, Montana, Kansas, North Dakota, New Mexico, and Oklahoma). The state directors committed their agencies to development of a Swift Fox Conservation Strategy with specific objectives for conservation of the species and dedicated resources to achieve the strategy’s goals. The team was formed under the leadership of the Western Association of Fish and Wildlife Agencies (WAFWA). In 2005, the swift fox conservation effort was incorporated into WAFWA’s Grassland Initiative, which uses an ecosystem approach to species conservation and allows more direct coordination between WAFWA and the SFCT. The SFCT is led by representatives of the 10 state wildlife agencies and includes additional representation from federal agencies and the Canadian Swift Fox Recovery Team. Participating cooperators include interested tribes, conservation and zoological organizations, universities, and state and federal agencies. The SFCT has met nearly every year since its formation in meetings that are open to the public. Team meetings provide a forum for information exchange and discussion and for distribution of annual reports, which document progress by each partner toward CACS objectives.,pages 5-9,NA",NA,NA
"77","Rorippa subumbellata","TAHOE YELLOW CRESS","13_13_NA","· California Department of Fish and Wildlife; · California State Lands Commission; · California Department of Parks and Recreation (California State Parks); · California Tahoe Conservancy; · League to Save Lake Tahoe; · Nevada Division of Forestry; · Nevada Division of State Lands; · Nevada Division of State Parks; · Nevada Natural Heritage Program; · Tahoe Lakefront Owners’ Association; · Tahoe Regional Planning Agency; · U.S. Fish and Wildlife Service; and · U.S. Forest Service,· California Department of Fish and Wildlife; · California State Lands Commission; · California Department of Parks and Recreation (California State Parks); · California Tahoe Conservancy; · League to Save Lake Tahoe; · Nevada Division of Forestry; · Nevada Division of State Lands; · Nevada Division of State Parks; · Nevada Natural Heritage Program; · Tahoe Lakefront Owners’ Association; · Tahoe Regional Planning Agency; · U.S. Fish and Wildlife Service; and · U.S. Forest Service,NA","California Department of Fish and Wildlife, California State Lands Commission, California Department of Parks and Recreation, California Tahoe Conservancy, League to Save Lake Tahoe, Nevada Division of Forestry, Nevada Division of State Lands, Nevada Division of State Parks, Nevada Natural Heritage Program, Tahoe Lakefront Owners's Association, Tahoe Regional Planning Agency, USFWS, USFS",13
"78","Castilleja elongata","TALL PAINTBRUSH","NA_NA_NA","NA,NA,NA",NA,NA
"79","Delphinium variegatum thornei","THORNEÕS ROYAL LARKSPUR","NA_NA_NA","NA,NA,NA",NA,NA
"80","Calochortus umpquaensis","UMPQUA MARIPOSA LILY","3_NA_NA","USDA, USDI BLM and USFWS 1995,NA,NA","USDA, USFWS, BLM",3
"81","Zaitzevia thermae","WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","4+_NA_NA","USFWS – Montana Ecological Services Office, USFWS – Bozeman Fish Technology Center, Montana Fish Wildlife & Parks, Montana State University (bottom paragraph of page 8 indicates that there could be additional collaboration),NA,NA","USFWS,  Montana State University,  Montana Fish Wildlife and Parks",3
"82","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","2+_5_NA","The Foster Creek Conservation District (FCCD), in cooperation with the South Douglas Conservation District and involving agricultural landowners and other stakeholders, began developing a Habitat Conservation Plan (HCP) for agricultural activities in Douglas County in 1999.,Threemile Canyon Farms The Nature Conservancy Portland General Electric U.S. Fish and Wildlife Service Oregon Department of Fish and Wildlife,NA","Foster Creek Conservation District, Threemile Canyon Farms, The Nature Conservancy, Portland General Electric, USFWS, Washington State Department of Fish and Wildlife, NRCS, Farm Service Agency, Washington State Department of Natural Resources, BLM",10
"83","Polemonium pectinatum","WASHINGTON JACOB'S-LADDER","NA_NA_NA","NA,wrong year..,NA",NA,NA
"84","Nysius wekiuicola","WEKIU BUG","1_NA_NA","University of Hawaiÿi,NA,NA","University of Hawaii",1
"85","Delphinium viridescens","WENATCHEE LARKSPUR","NA_NA_NA","NA,NA,NA",NA,NA
"86","Sonorella macrophallus","WET CANYON TALUSSNAIL","3_NA_NA","USDA Forest Service Coronado National Forest Safford Ranger District / U. S. Fish and Wildlife Service Arizona Ecological Services Field Office / Arizona Game and Fish Department Nongame and Endangered Wildlife Program,NA,NA","USFS,  USFWS,  Arizona Game and Fish Department",3
"87","Penstemon scariosus albifluvis","WHITE RIVER BEARDTONGUE","6_NA_NA","Uintah County, Utah, Rio Blanco County, Colorado, the Utah School and Institutional Trust Lands Administration, the Utah Governor’s Public Lands Policy Coordination Office, the Utah Division of Wildlife Resources, and the BLM in Utah and Colorado, FWS,NA,NA","Uintah County, Rio Blanco County,  Utah School and Institutional Trust Lands Administration, Utah Governors Public Lands Policy Coordination Office, Utah Division of Wildlife Resources, BLM, USFWS",7
"88","Aliciella caespitosa","WONDERLAND ALICE-FLOWER","4_NA_NA","U.S.D.A. Forest Service, Fishlake National Forest U.S.D.O.I. Bureau of Land Management, Utah State Office U.S.D.O.I. National Park Service, Capitol Reef National Park U.S.D.O.I. Fish and Wildlife Service, Utah Field Office,NA,NA","USFS, NPS,  Utah State Office, USFWS, BLM",5
"89","Synthliboramphus hypoleucus","XANTUS'S MURRELET","NA_NA_NA","NA,NA,NA",NA,NA
"90","Solidago plumosa","YADKIN RIVER GOLDENROD","2 partners +1 collaborator_NA_NA","Parties: Alcoa Power Generating Inc, USFWS / Cooperators: North Carolina Plant Conservation Program (“NCPCP”),NA,NA","Alcoa Power Generating Inc, USFWS",2
