"","partner.in.agreement","Scientific.name","Common.name","agreement.number","Programatic..Y.N.","type.of.partners","doc.link","notes.on.actions.taken..from.notes.tab.","Don.t.know.how.to.categorize.action...dump.text.here","X1..Land.Water.Management","X2..Species.Management","X3..Awareness.raising","X4..law.enforcement.and.prosecution","X5..livelihood..economic.and.moral.incentrives","X6..Conservation.Design.and.Planning","X7..Legal.and.Policy.frameworks","X8..Research.and.monitoring","X9..Education.and.Training","X10..Institutional.Development","funding"
"120"," Sierra Pacific Industries","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","doc 1 CCA","","S","https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"63","??","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","doc 1 b CCAA","","M?","","","Technical assistance is available from the NRCS and FWS to develop plans to improve and maintain habitat for the LPC and/or SDL.","0","0","0","0","0","0","0","0","0","0","0"
"124","??Redband Core Group (unspecified who makes up)","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","doc 1 CCA","","M","https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf","The Redband Core Group is a collection of agency and private landowner representatives charged with the management and protection of the McCloud redband trout","","0","0","0","0","0","1","0","1","0","1","0"
"73","** I think this refers to all: ICC Interagency Coordinating Committee","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","M","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"159","366th wing","Lepidium papilliferum","SLICKSPOT PEPPERGRASS","doc 2 Integrated Natrual Resource Mangagement Plan ","N","","","","","0","1","0","0","0","0","0","0","0","0","0"
"158","Air force, BLM, ???","Lepidium papilliferum","SLICKSPOT PEPPERGRASS","doc 2 Integrated Natrual Resource Mangagement Plan ","N","M","","","","0","1","0","0","0","0","0","0","0","0","0"
"204","Alcoa Power Generating Inc","Solidago plumosa","YADKIN RIVER GOLDENROD","doc 1 cca","N","P","https://www.fws.gov/asheville/pdfs/Yadkin-River-Goldenrod_CCA_07-12-2013.pdf"," ","","1","0","1","0","0","0","0","1","0","1","0"
"80","ALL (all parties)","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","M","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","1","0","0","1","0","1","1","1","1","1","0"
"60","All parties","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","doc 1 b CCAA","Y","M","https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf"," ","","0","0","0","0","0","0","1","0","0","1","1"
"69","Anza-Borrego Desert State Park (ABDSP) ","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","?","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","1","0","0","0","0","0"
"70","Arizona Game and Fish Department","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","S","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf","See appendix 1, page 83 - seems like there are sub categories of involved parties and management groups… but spelt out explicitly in doc.. Anyway need to categorize and make sure explictly saying why doing so (based on different parts of doc)","","0","0","0","0","0","0","0","0","0","0","0"
"135","Arizona Game and Fish Department","Pyrgulopsis morrisoni","PAGE SPRINGSNAIL","doc 1 CCAA","Y","S","https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/PageSpringsnail/Page%20springsnail%20CCAA_Final_Wsignature.pdf"," ","","1","1","0","0","0","0","0","0","0","0","0"
"194","Arizona Game and Fish Department","Sonorella macrophallus","WET CANYON TALUSSNAIL","doc 1 Conservation Assessment and Strategy","N","","","","","0","0","0","0","0","0","0","1","0","0","0"
"138","Arizona Game and Fish Department, USFWS ","Pyrgulopsis morrisoni","PAGE SPRINGSNAIL","doc 1 CCAA","Y","M","https://www.fws.gov/southwest/es/arizona/Documents/SpeciesDocs/PageSpringsnail/Page%20springsnail%20CCAA_Final_Wsignature.pdf"," ","","0","0","0","0","0","0","0","1","0","1","0"
"39","B. Kinsely ","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","doc 1 conservation agreement and strategy ","??","P","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf"," ","","1","1","0","0","0","0","0","0","0","0","0"
"2","BLM","Calochortus persistens","SISKIYOU MARIPOSA LILY","doc 1","N","S","https://www.fs.fed.us/r6/sfpnw/issssp/documents3/cag-vp-calochortus-persistens-2012.pdf"," ","","1","1","0","0","0","0","0","1","0","0","0"
"13","BLM","Thymallus arcticus","ARCTIC GRAYLING- UPPER MISSOURI RIVER DPS","doc 2 Dillon Resource Management Plan (RMP)","N","S","https://eplanning.blm.gov/epl-front-office/projects/lup/77497/103609/126835/ApprovedPlan.pdf"," ","","1","0","0","0","0","1","1","0","0","0","0"
"21","BLM","Opuntia X multigeniculata","BLUE DIAMOND CHOLLA","doc 1 HCP","N","G","http://www.clarkcountynv.gov/airquality/dcp/Documents/Library/current%20HCP/cc-appa.pdf"," "," ","1","1","0","0","0","1","0","0","0","0","0"
"43","BLM","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","doc 1 conservation agreement and strategy ","","S","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"49","BLM","Cymopterus deserticola","DESERT CYMOPTERUS","doc 1 Appendix B Chapter","","G","https://www.blm.gov/ca/pdfs/cdd_pdfs/wemo_pdfs/plan/wemo/Vol-2-Complete-Bookmarks.pdf"," ","","0","1","0","0","0","0","0","1","0","0","0"
"55","BLM","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","doc 1 a CCA","","S","https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf"," ","","0","0","0","0","0","0","1","1","0","0","0"
"71","BLM","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","S","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","1","0","0","0","0","1","0","0","0","0","0"
"93","BLM","Astragalus anserinus","GOOSE CREEK MILKVETCH","doc 1 ","","S","https://www.fws.gov/utahfieldoffice/Documents/Goosecreek_milkvetch/latestnewswebpageforgoosecreekmilkvetch/Goose%20Creek%20milkvetch%20Conservation%20Agreement.pdf"," ","","1","1","0","0","0","0","0","0","0","0","1"
"102","BLM","Pediocactus paradinei","KAIBAB PLAINS CACTUS","doc 2","","S","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1452.pdf"," ","","1","0","0","0","0","0","0","0","0","0","0"
"106","BLM","Iotichthys phlegethontis","LEAST CHUB","doc 1","","S","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf"," ","","1","1","0","0","0","0","0","1","0","1","0"
"162","BLM","Potentilla basaltica","SOLDIER MEADOW CINQUEFOIL","doc 1","N","G","https://esadocs.defenders-cci.org/ESAdocs/recovery_plan/970527.pdf","Cost given for each action as well as the amount each agency will contribute, Note that information was taken from ""Recovery Plan Implementation Schedule"" table found on page 41. I'm slightly concerned that there is an element of recreation management not reflected in coding but this was not correlated to a specific partner. "," ","0","0","0","0","0","1","0","0","0","0","0"
"185","BLM","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","doc 1 Douglas County Multiple Species General Conservation Plan","Y","G","https://ecos.fws.gov/docs/plan_documents/thcp/thcp_1314.pdf"," ","","1","0","0","0","0","1","0","1","1","1","0"
"200","BLM","Aliciella caespitosa","WONDERLAND ALICE-FLOWER","doc 1 Conservation agreement","N","S","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_670.pdf"," ","","0","0","0","0","0","1","0","1","1","0","0"
"88","BLM, Bureau of Reclamation","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","M","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","0","0","0","1","1","0"
"86","BLM, Bureau of Reclamation, Anza-Borrego Desert State Park, U.S. Marine Corps, U.S. Navy","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","M","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","1","0","0","0","0","0","0","0","0","0","0"
"81","BLM, Bureau of Reclamation, U.S. Marine Corps ","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","M","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","1","0","0","0","0","0"
"87","BLM, California Department of Fish and Game, Anza-Borrego Desert State Park, Ocotillo Wells State Vehicular Recreation Area","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","M","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","1","0","0","0","0","1"
"89","BLM, California Department of Fish and Game, Arizona Game and Fish Department","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","M","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","1","0","0","0","0","0","0","0"
"201","BLM, Fishlake National Forest","Aliciella caespitosa","WONDERLAND ALICE-FLOWER","doc 1 Conservation agreement","N","M","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_670.pdf"," ","","1","0","0","0","0","1","0","0","0","0","0"
"83","BLM, Ocotillo Wells State Vehicular Recreation Area, Anza-Borrego Desert State Park","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","M","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","1","0","0","0","0","0"
"82","BLM, U.S. Navy","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","M","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","1","0","0","0","0","0"
"161","BLM, USFWS ","Potentilla basaltica","SOLDIER MEADOW CINQUEFOIL","doc 1","N","M","https://esadocs.defenders-cci.org/ESAdocs/recovery_plan/970527.pdf","Cost given for each action as well as the amount each agency will contribute, Note that information was taken from ""Recovery Plan Implementation Schedule"" table found on page 41. I'm slightly concerned that there is an element of recreation management not reflected in coding but this was not correlated to a specific partner. "," ","1","0","0","0","0","0","0","0","1","0","0"
"84","BLM, USFWS, California Department of Fish and Game","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","M","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","1","0","0","0","0","0"
"160","BLM, USFWS, Nevada Division of Wildlife","Potentilla basaltica","SOLDIER MEADOW CINQUEFOIL","doc 1","N","M","https://esadocs.defenders-cci.org/ESAdocs/recovery_plan/970527.pdf","Cost given for each action as well as the amount each agency will contribute, Note that information was taken from ""Recovery Plan Implementation Schedule"" table found on page 41. I'm slightly concerned that there is an element of recreation management not reflected in coding but this was not correlated to a specific partner. "," ","1","0","0","0","0","0","0","1","0","0","0"
"119","Bob McIntsh (Private landowner)","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","doc 1 CCA","","S","https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"170","Bozeman Fish Technology center (USFWS)","Zaitzevia thermae","WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","doc 1 Conservation Agreement and Strategy ","N","?","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_676.pdf","Table only indicates who the lead partner is for each action, not all of the partners involved","","1","0","1","0","0","1","0","0","1","0","1"
"171","Bozeman Fish Technology center (USFWS), Montana State University","Zaitzevia thermae","WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","doc 1 Conservation Agreement and Strategy ","N","M","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_676.pdf"," ","","0","1","0","0","0","0","0","0","0","0","1"
"172","Bozeman Fish Technology center (USFWS), Montana State University, Montana Fish Wildlife and Parks","Zaitzevia thermae","WARM SPRINGS ZAITZEVIAN RIFFLE BEETLE","doc 1 Conservation Agreement and Strategy ","N","M","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_676.pdf"," ","","0","0","0","0","0","1","0","0","0","1","0"
"72","Bureau of Reclamation","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","S","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"105","Bureau of Reclamation","Iotichthys phlegethontis","LEAST CHUB","doc 1","","S","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf"," ","","1","0","0","0","0","1","0","1","0","1","0"
"126","Califonia Department of Fish and Game, Redband Core Group","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","doc 1 CCA","","M","https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf"," ","","0","0","0","0","0","0","1","0","0","0","0"
"50","California City ","Cymopterus deserticola","DESERT CYMOPTERUS","doc 1 Appendix B Chapter","","G","https://www.blm.gov/ca/pdfs/cdd_pdfs/wemo_pdfs/plan/wemo/Vol-2-Complete-Bookmarks.pdf"," ","","0","1","0","0","0","0","0","1","0","0","0"
"74","California Department of Fish and Game","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","S","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"117","California Department of Fish and Game","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","doc 1 CCA","","S","https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf"," ","","0","0","0","0","0","0","0","1","0","0","0"
"64","California Department of Fish and Wildlife","Oncorhynchus mykiss aquilarum","EAGLE LAKE TROUT ","doc 1A Lassen County ","","S","https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf","Set up as goals and actions. All parties seem to be responsible for the goals, but the objectives are organization specific and some goals only have objectives being done by one oganization"," ","1","1","0","0","0","0","0","1","0","0","0"
"67","California Department of Fish and Wildlife, USFS","Oncorhynchus mykiss aquilarum","EAGLE LAKE TROUT ","doc 1A Lassen County ","","M","https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf"," ","","1","1","0","0","0","0","0","1","0","0","0"
"68","California Department of Fish and Wildlife, USFS, USFWS","Oncorhynchus mykiss aquilarum","EAGLE LAKE TROUT ","doc 1A Lassen County ","","M","https://www.fws.gov/sacramento/es/Habitat-Conservation-Plans/Documents/Conservation_Agreement_Eagle_Lake_Rainbow_Trout.pdf"," ","","0","0","1","0","0","0","0","0","0","0","0"
"79","California Department of Parks and Recreation","Phrynosoma mcallii","FLAT-TAILED HORNED LIZARD","doc 1 ","","S","https://www.fws.gov/carlsbad/TEspecies/Documents/Flattailed_horned_lizard/PDFs/RMS%20-%20Final%202003.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"25","California State Parks","Phacelia stellaris","BRAND'S PHACELIA","doc 1 CCA ","N","S","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1043.pdf"," ","","1","1","0","0","0","0","0","1","1","1","0"
"52","Center of Excellence for Hazardous Materials Management (CEHMM)","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","doc 1 a CCA"," ","S","https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf"," ","Determining the conservation commitment and enrolling Participating Cooperators in accordance with this CCA via CPs","0","0","0","0","1","0","1","1","1","1","1"
"58","Center of Excellence for Hazardous Materials Management (CEHMM)","Sceloporus arenicolus","DUNES SAGEBRUSH LIZARD","doc 1 b CCAA","Y","S","https://www.fws.gov/southwest/es/Documents/R2ES/LPC_SDL_NM_CCA_CCAA_2008_final_signed.pdf"," ","","0","0","0","0","0","0","1","0","0","1","1"
"109","Central Utah Water Conservancy District","Iotichthys phlegethontis","LEAST CHUB","doc 1","","S","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf"," ","","1","0","0","0","0","1","0","0","0","1","0"
"145","Colorado Division of Parks and Wildlife","Oncorhynchus clarkii virginalis","RIO GRANDE CUTTHROAT TROUT","doc 1 CCAA"," ","C","https://www.fws.gov/southwest/es/newmexico/documents/Vermejo_Park_Ranch_CCAA.pdf"," ","","1","1","0","0","0","0","0","1","0","1","0"
"110","Confederated tribes of the goshute reservation","Iotichthys phlegethontis","LEAST CHUB","doc 1","","S","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_1002.pdf"," ","","1","1","0","0","0","0","0","1","0","1","0"
"131","cooperator","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","doc 3 CCAA ME","Y","??","https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_1275.pdf","detailed in a separate document (need to decide how to make this uniform if every document doesn't have individual info)","","0","0","0","0","0","0","0","0","0","0","0"
"141","cooperator (unspecified landowner)","Lithobates onca","RELICT LEOPARD FROG","doc 1 CCAA","Y","P","https://www.fws.gov/nevada/protected_species/amphibians/documents/rlf/rlf_pccaa_061015.pdf","Specifiy for each CA - have taken baseline agreements that all agree to (from Attachment B)","","1","0","0","0","0","0","0","0","0","1","0"
"44","CPSD state park ","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","doc 1 conservation agreement and strategy ","","C","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"38","CPSD State Park, BLM","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","doc 1 conservation agreement and strategy ","??","M","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf"," ","","1","0","0","0","0","0","0","0","0","0","0"
"40","CPSD State Park, BLM, USFWS","Cicindela albissima","CORAL PINK SAND DUNES TIGER BEETLE","doc 1 conservation agreement and strategy ","","M","https://ecos.fws.gov/docs/plan_documents/tcca/tcca_772.pdf"," ","","0","0","0","0","0","0","0","0","1","0","1"
"151","Duke Energy Carolinas ","Moxostoma","SICKLEFIN REDHORSE","doc 1 CCA","N","","","tense is werid - not something that partners are agreeing to do, but a combo of done and doing --> could pick through for cooperation between partners","","1","1","0","0","0","1","0","1","0","1","1"
"177","Duties and Responsibilities of the FCCD Board of Supervisors","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","doc 1 Douglas County Multiple Species General Conservation Plan","Y","?","https://ecos.fws.gov/docs/plan_documents/thcp/thcp_1314.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"178","Duties and Responsibilities of the MSGCP Administrator","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","doc 1 Douglas County Multiple Species General Conservation Plan","Y","?","https://ecos.fws.gov/docs/plan_documents/thcp/thcp_1314.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"155","Eastern Band of Cherokee Indians","Moxostoma","SICKLEFIN REDHORSE","doc 1 CCA","N","","","","","0","1","0","0","0","0","0","1","0","0","0"
"128","EDF","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","doc 2 CCAA NH","Y","X","https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_873.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"134","EDF","Sylvilagus transitionalis","NEW ENGLAND COTTONTAIL","doc 3 CCAA ME","Y","X","https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_1275.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"183","Farm Service Agency ","Urocitellus washingtoni","WASHINGTON GROUND SQUIRREL","doc 1 Douglas County Multiple Species General Conservation Plan","Y","G","https://ecos.fws.gov/docs/plan_documents/thcp/thcp_1314.pdf"," ","","0","0","0","0","0","0","0","0","0","1","0"
"156","Georgia Department of Natural Resources","Moxostoma","SICKLEFIN REDHORSE","doc 1 CCA","N","",""," ","","0","0","0","0","0","0","0","1","0","1","0"
"121","Hearest Corporation","Oncorhynchus mykiss ssp.","MCCLOUD RIVER REDBAND TROUT","doc 1 CCA","","S","https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5133598.pdf"," ","","0","0","0","0","0","0","0","0","0","0","0"
"165","Idaho Department of Fish and Game","Urocitellus endemicus","SOUTHERN IDAHO GROUND SQUIRREL","doc 1 CCAA","Y","S","https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_302.pdf","Do we care about permit hold for agreement? ","Prepare annual reports in accordance with the Agreement and the site-specific plans.","0","1","0","0","0","1","1","1","0","0","1"
"166","Idaho Governor's Office of Species Conservation","Urocitellus endemicus","SOUTHERN IDAHO GROUND SQUIRREL","doc 1 CCAA","Y","S","https://ecos.fws.gov/docs/plan_documents/ccaa/ccaa_302.pdf","Can tell some actions are joint because using the exact same frazing - worth combining these partners? (--> developing plans and species translocation)","","0","1","0","0","0","1","0","0","0","0","1"
"35","Illinois Department of Natural Resources, Indiana Department of Natural Resources, Kentucky Department of Fish and Wildlife Resources, Kentucky Natural Resources and Environmental Cabinet, USFWS, DOI Office of Surface MIning reclamation and Enforcement, Indiana Department of Natural Resources","Nerodia erythrogaster neglecta","COPPERBELLY WATER SNAKE","doc 1 website","N","G","https://www.fws.gov/Midwest/endangered/reptiles/cws/copprCAfcts.html#ag","Make note that putting partner names under agency grops","","1","0","0","1","0","1","1","0","1","0","0"
