"","Var1","V2","bars_by_foo"
"1","BLM",1,"Aliciella caespitosa, Astragalus anserinus, Cimicifuga arizonica, Lepidium papilliferum, Opuntia X multigeniculata, Pediocactus paradinei, Phrynosoma mcallii, Potentilla basaltica, Sceloporus arenicolus, Urocitellus washingtoni"
"2","Bureau of Reclamation",1,"Iotichthys phlegethontis, Phrynosoma mcallii"
"3","California Department of Fish and Game",1,"Oncorhynchus mykiss ssp., Phrynosoma mcallii"
"4","California State Parks",1,"Phacelia stellaris, Phrynosoma mcallii"
"5","Anza-Borrego Desert State Park",1,"Phrynosoma mcallii"
"6","Arizona Game and Fish Department",1,"Phrynosoma mcallii, Pyrgulopsis morrisoni, Sonorella macrophallus"
"7","BLM El Centro",1,"Phrynosoma mcallii"
"8","BLM Palm Springs",1,"Phrynosoma mcallii"
"9","BLM Yuma",1,"Phrynosoma mcallii"
"10","California Department of Parks and Recreation",1,"Phrynosoma mcallii"
"11","Ocotillo Wells State Vehicular Recreation Area",1,"Phrynosoma mcallii"
"12","U.S. Marine Corps",1,"Phrynosoma mcallii"
"13","U.S. Navy",1,"Phrynosoma mcallii"
"14","US Bureau of Reclamation Yuma",1,"Phrynosoma mcallii"
"15","US Marine Corps Air Station Yuma",1,"Phrynosoma mcallii"
"16","US Naval Air Facility El Centro",1,"Phrynosoma mcallii"
"17","US Navy SW Division",1,"Phrynosoma mcallii"
"18","USFWS Carlsbad",1,"Phrynosoma mcallii"
"19","USFWS Phoenix",1,"Phrynosoma mcallii"
"20","NPS",2,"Aliciella caespitosa, Erigeron basalticus, Pseudanophthalmus inexpectatus"
"21","USFS Fishlake National Forest",2,"Aliciella caespitosa"
"22","Rare Care",2,"Erigeron basalticus"
"23","USFWS",3,"Aliciella caespitosa, Astragalus anserinus, Castilleja christii, Cimicifuga arizonica, Horkelia hendersonii, Iotichthys phlegethontis, Lupinus aridus ssp. ashlandensis, Moxostoma, Nerodia erythrogaster neglecta, Pediocactus paradinei, Phrynosoma mcallii, Potentilla basaltica, Pseudanophthalmus catorycetes, Pseudanophthalmus inexpectatus, Pseudanophthalmus pholeter, Pyrgulopsis morrisoni, Sceloporus arenicolus, Sylvilagus transitionalis, Thymallus arcticus, Urocitellus endemicus, Urocitellus washingtoni, Zaitzevia thermae"
"24","DOI Office of Surface MIning reclamation and Enforcement",3,"Nerodia erythrogaster neglecta"
"25","Indiana Coal Council",3,"Nerodia erythrogaster neglecta"
"26","Kentucky Coal Association",3,"Nerodia erythrogaster neglecta"
"27","Kentucky Department of Fish and Wildlife Resources",3,"Nerodia erythrogaster neglecta"
"28","Kentucky Farm Bureau",3,"Nerodia erythrogaster neglecta"
"29","Western Kentucky Coal Association",3,"Nerodia erythrogaster neglecta"
"30","Illinois Department of Natural Resources",3,"Nerodia erythrogaster neglecta"
"31","Indiana Department of Natural Resources",3,"Nerodia erythrogaster neglecta"
"32","Kentucky Natural Resources and Environmental Cabinet",3,"Nerodia erythrogaster neglecta"
"33","USFS Southwestern Region",4,"Allium gooddingii"
"34","USFWS Southwest Region",4,"Allium gooddingii, Sceloporus arenicolus"
"35","New Mexico Department of Game and Fish",4,"Oncorhynchus clarkii virginalis, Sceloporus arenicolus"
"36","USFWS Albuquerque New Mexico Ecological Services Field Office",4,"Oncorhynchus clarkii virginalis"
"37","Center of Excellence for Hazardous Materials Management (CEHMM)",4,"Sceloporus arenicolus"
"38","Participating cooperators",4,"Sceloporus arenicolus"
"39","NRCS",4,"Sceloporus arenicolus"
"40","Participating landowners",4,"Sceloporus arenicolus, Thymallus arcticus"
"41","Vermejo Park Ranch",4,"Oncorhynchus clarkii virginalis"
"42","Colorado Division of Parks and Wildlife",4,"Oncorhynchus clarkii virginalis"
"43","B. Kinsely",5,"Cicindela albissima"
"44","BLM Utah State office",5,"Cicindela albissima"
"45","Coral Pink Sand Dunes State Park",5,"Cicindela albissima"
"46","Kane County",5,"Cicindela albissima"
"47","USFWS Utah Field Office",5,"Cicindela albissima"
"48","Utah Department of Parks and Recreation",5,"Cicindela albissima"
"49","Otero County",6,"Euphydryas anicia cloudcrofti"
"50","USFS Lincoln National Forest",6,"Euphydryas anicia cloudcrofti"
"51","USFWS Ecological Services New Mexico Field Office",6,"Euphydryas anicia cloudcrofti"
"52","Village of Cloudcroft",6,"Euphydryas anicia cloudcrofti"
"53","Mississippi Army National Guard",7,"Fallicambarus gordoni"
"54","Mississippi National Guard",7,"Fallicambarus gordoni"
"55","USFS DeSoto National Forest",7,"Fallicambarus gordoni"
"56","USFWS Southeast Region",7,"Fallicambarus gordoni"
"57","Mississippi Department of Wildlife & Mississippi Museum of Natural Sciences",7,"Fallicambarus gordoni"
"58","USFS",8,"Castilleja christii, Cimicifuga arizonica, Horkelia hendersonii, Lupinus aridus ssp. ashlandensis, Pediocactus paradinei"
"59","Oregon Natural Heritage Program",8,"Horkelia hendersonii"
"60","Oregon Plant Conservation Program",8,"Horkelia hendersonii"
"61","BLM Provo Area Office",9,"Iotichthys phlegethontis"
"62","Central Utah Water Conservancy District",9,"Iotichthys phlegethontis"
"63","Confederated tribes of the goshute reservation",9,"Iotichthys phlegethontis"
"64","Southern Nevada Water Authority",9,"Iotichthys phlegethontis"
"65","Utah Division of Wildlife Resources",9,"Iotichthys phlegethontis, Penstemon scariosus albifluvis"
"66","BLM Vernal Field Office",9,"Penstemon scariosus albifluvis"
"67","BLM White River Field Office",9,"Penstemon scariosus albifluvis"
"68","Uintah County",9,"Penstemon scariosus albifluvis"
"69","USFWS Utah Ecological Services Field Office",9,"Penstemon scariosus albifluvis"
"70","USFWS Western Colorado Field Office",9,"Penstemon scariosus albifluvis"
"71","Utah Governor Public Lands Policy Coordination Office",9,"Penstemon scariosus albifluvis"
"72","Utah Reclamation Mitigation and Conservation Commission",9,"Iotichthys phlegethontis"
"73","Utah School and Institutional Trust Lands Administration",9,"Penstemon scariosus albifluvis"
"74","366th wing",10,"Lepidium papilliferum"
"75","The Air force",10,"Lepidium papilliferum"
"76","cooperator (unspecified landowner)",11,"Lithobates onca"
"77","Nevada Department of Wildlife",11,"Lithobates onca"
"78","USFWS Southern Nevada Fish and Wildlife Office",11,"Lithobates onca"
"79","Duke Energy Carolinas",12,"Moxostoma"
"80","Eastern Band of Cherokee Indians",12,"Moxostoma"
"81","Georgia Department of Natural Resources",12,"Moxostoma"
"82","North Carolina Wildlife Resources Commission",12,"Moxostoma"
"83","Tennessee Valley Authority",12,"Moxostoma"
"84","California Department of Fish and Wildlife",13,"Oncorhynchus mykiss aquilarum"
"85","USFS Pacific Southwest Region Eagle Lake Ranger District Lassen national Forest",13,"Oncorhynchus mykiss aquilarum"
"86","USFWS Pacific Southwest Region Sacramento Office",13,"Oncorhynchus mykiss aquilarum"
"87","Bob McIntsh (Private landowner)",14,"Oncorhynchus mykiss ssp."
"88","Califonia Department of Fish and Game",14,"Oncorhynchus mykiss ssp."
"89","Hearest Corporation",14,"Oncorhynchus mykiss ssp."
"90","John Hancock Mutual Life Insurace Company",14,"Oncorhynchus mykiss ssp."
"91","Private landowners",14,"Oncorhynchus mykiss ssp."
"92","Private Landowners",14,"Oncorhynchus mykiss ssp."
"93","Sierra Pacific Industries",14,"Oncorhynchus mykiss ssp."
"94","Siskiyou County Board of Supervisors",14,"Oncorhynchus mykiss ssp."
"95","USFS Shasta Trinity National Forest",14,"Oncorhynchus mykiss ssp."
"96","USFWS Sacramento Fish and Wildlife office",14,"Oncorhynchus mykiss ssp."
"97","US Customs and Border Protection",15,"Phacelia stellaris"
"98","US Marine Corps",15,"Phacelia stellaris"
"99","US Navy",15,"Phacelia stellaris"
"100","USFWS Carlsbad Fish and Wildlife Office",15,"Phacelia stellaris"
"101","Alcoa Power Generating Inc",16,"Solidago plumosa"
"102","North Carolina Department of Agriculture & Consumer Services Plant Conservation Program",16,"Solidago plumosa"
"103","USFWS Service Asheville Field Office",16,"Solidago plumosa"
"104","USFS Coronado National Forest Safford Ranger District",17,"Sonorella macrophallus"
"105","USFWS Arizona Ecological Services Field Office",17,"Sonorella macrophallus"
"106","EDF",18,"Sylvilagus transitionalis"
"107","New Hampshire Fish and Game",18,"Sylvilagus transitionalis"
"108","Maine Department of Inland Fisheries and Wildlife",18,"Sylvilagus transitionalis"
"109","Montana Department of Natural Resources and Conservation",19,"Thymallus arcticus"
"110","Bozeman Fish Technology center (USFWS)",19,"Zaitzevia thermae"
"111","EPA",19,"Zaitzevia thermae"
"112","Montana State University",19,"Zaitzevia thermae"
"113","neighboring land owners",19,"Zaitzevia thermae"
"114","BLM Dillon Field Office",19,"Thymallus arcticus"
"115","U.S. Army Corps of Engineers",19,"Zaitzevia thermae"
"116","Montana Fish Wildlife and Parks",19,"Thymallus arcticus, Zaitzevia thermae"
"117","Natural Resources Conservation Service",20,"Thymallus arcticus, Urocitellus washingtoni"
"118","Farm Service Agency",20,"Urocitellus washingtoni"
"119","Individual Property HCP Development",20,"Urocitellus washingtoni"
"120","The Nature Conservancy",20,"Urocitellus washingtoni"
"121","Washington State Department of Fish and Wildlife",20,"Urocitellus washingtoni"
"122","Washington State Department of Natural Resources",20,"Urocitellus washingtoni"
"123","Oregon Department of Fish and Wildlife",20,"Urocitellus washingtoni"
"124","Portland General Electric",20,"Urocitellus washingtoni"
"125","Threemile Canyon Farms",20,"Urocitellus washingtoni"
"126","Idaho Department of Fish and Game",21,"Urocitellus endemicus"
"127","Idaho Governor's Office of Species Conservation",21,"Urocitellus endemicus"
"128","Private landowner",21,"Urocitellus endemicus"
"129","Nevada Division of Wildlife",22,"Potentilla basaltica"
"130","Southern Conservation Corporation",23,"Pseudanophthalmus catorycetes, Pseudanophthalmus pholeter"
"131","unspecified landowner",24,"Pyrgulopsis morrisoni"
